t/Ri ,a/c ,a/t ,"A0, G0","A0, G1","A1, G0","A1, G1","A2, G0","A2, G1","A3, G0","A3, G1","A4, G0","A4, G1","A5, G0","A5, G1","A6, G0","A6, G1"
0.01667,0.25,0,0.6152816,0.0703566,-0.3348694,0.2828152,6.295562,1.4036169,-15.590618,-0.6511596,19.299508,-1.2076596,-12.488107,1.0318656,3.3010035,-0.2423741
0.01667,0.25,0.2,0.6023257,0.0835309,0.1545741,0.2906933,4.5360513,1.7444852,-12.711785,-2.7644188,17.157905,2.9354101,-11.940369,-2.4449975,3.3414681,0.838036
0.01667,0.25,0.4,0.733125,0.123718,0.089498,0.260684,4.304878,1.882028,-8.50182,-1.852,7.072692,0.384846,-2.45455,-0.08899,0.12491,0.07273
0.01667,0.25,0.6,0.935739,0.18462,0.060083,0.254192,4.406518,1.965245,-5.83885,-1.31965,-0.58665,-1.28867,5.189378,1.599639,-2.51175,-0.51415
0.01667,0.25,0.8,1.200178,0.272226,0.572199,0.180268,-0.85325,2.13042,18.99128,0.096883,-50.3899,-5.86034,48.78014,6.264905,-16.4171,-2.10598
0.01667,0.5,0,0.8776607,0.1277541,-0.6729719,0.4368502,3.7721411,0.4904522,-6.520906,1.0427434,6.3377934,-2.9631236,-3.7028038,2.0826525,0.9872447,-0.5184313
0.01667,0.5,0.2,0.8861552,0.143718,-0.8475972,0.2270616,5.2281796,1.7877516,-11.342469,-3.0976685,14.043389,3.5596526,-9.6947405,-2.9618029,2.8144567,1.0245128
0.01667,0.5,0.4,1.008248,0.17969,-0.74563,0.320577,3.351018,1.107175,-3.03477,-0.204,-1.60273,-1.9598,3.879918,1.90275,-1.65272,-0.60358
0.01667,0.5,0.6,1.187736,0.238406,-0.92001,0.205047,3.283068,1.513891,-1.52319,-1.11768,-5.04703,-0.74734,6.957505,1.026495,-2.62532,-0.33886
0.01667,0.5,0.8,1.412991,0.296697,-1.14632,0.191567,3.300682,1.178762,-1.32331,-0.3009,-4.97309,-1.25164,6.236219,0.883377,-2.12811,-0.17396
0.01667,1,0,1.1977992,0.1870117,-0.524487,0.6987352,0.1498299,0.13169,2.3284866,0.7269255,-5.1058499,-2.5259384,4.3469049,2.1756251,-1.348798,-0.6540458
0.01667,1,0.2,1.2109353,0.2130552,-1.2177397,0.175551,5.0743805,3.3026352,-13.865698,-9.3689236,21.990202,14.181057,-18.097614,-11.600284,5.9594076,3.8274381
0.01667,1,0.4,1.31073,0.223533,-1.0156,0.555013,1.97075,0.695927,-1.00399,-0.36768,-2.27217,-1.52339,3.601086,1.874277,-1.49046,-0.69445
0.01667,1,0.6,1.421995,0.257568,-1.17389,0.488188,1.901668,0.819381,-0.42747,-0.67935,-3.09019,-0.95096,4.046793,1.338732,-1.55021,-0.50111
0.01667,1,0.8,1.544171,0.28558,-1.33253,0.486398,1.701996,0.635688,0.006641,-0.42538,-2.78898,-0.69037,2.992644,0.713907,-0.98459,-0.21458
0.01667,2,0,0.8150546,0.1359146,-0.5623828,0.070234,1.4465771,3.5558581,-4.6778133,-11.034445,8.4192164,16.967724,-7.9025932,-14.126991,2.9866351,4.8706612
0.01667,2,0.2,0.8028351,0.1279559,-0.9568446,0.0702782,3.9434949,3.202528,-11.975192,-9.667258,19.49793,14.491084,-16.382699,-11.886655,5.5792085,4.0727789
0.01667,2,0.4,0.8380589,0.1419656,-0.3513714,0.0558979,-0.6291162,3.2758482,3.1142671,-9.856305,-5.8512931,14.75664,4.7228055,-12.102671,-1.3233607,4.1493773
0.01667,2,0.6,0.8665287,0.1509178,-0.3612175,0.0382471,-0.8863819,3.3253185,4.0316038,-9.9492109,-7.3391614,14.852138,5.8802748,-12.164336,-1.6679659,4.1704975
0.01667,2,0.8,0.9224303,0.1476854,-0.9753725,0.1915534,2.8158522,2.2701951,-7.5259514,-6.5794718,11.536233,9.2487344,-9.5573301,-7.4444819,3.3229496,2.5829071
0.05,0.03125,0,0.1965046,0.005178,2.9373464,0.175028,-5.2582823,2.771868,7.4889153,-4.6457154,-6.9282667,4.6780502,3.3673349,-3.276809,-0.6677966,0.9840994
0.05,0.03125,0.2,0.2033833,0.0049452,2.5286342,0.195203,-1.8283974,2.6898536,-2.693057,-4.370893,9.3707942,4.7450394,-9.5463774,-3.6789217,3.2538037,1.1613232
0.05,0.03125,0.4,0.208981,0.008044,2.8283,0.26948,-3.19985,1.943308,3.15051,-0.34711,3.403913,-2.39076,-8.36897,2.443843,3.75883,-0.98101
0.05,0.03125,0.6,0.205546,0.008247,3.155514,0.303035,-5.59553,1.966889,15.95445,-1.93906,-15.8255,6.188543,4.114353,-8.77573,0.50209,3.4765
0.05,0.03125,0.8,0.236901,0.009071,2.207404,0.535166,2.879344,-0.0295,-8.98514,5.53716,32.27936,-3.53667,-41.3934,-2.51101,16.2537,1.59821
0.05,0.0625,0,0.2695332,0.0138667,2.1626001,0.1827458,-1.6551569,2.5749608,-1.2970208,-3.9044679,4.5604304,3.3556301,-4.3163876,-2.1772209,1.4010655,0.6420134
0.05,0.0625,0.2,0.2777401,0.016753,2.0228942,0.1966749,-0.376273,2.6687417,-3.924388,-4.4807588,7.660623,4.9742054,-6.2555801,-3.8877324,1.8583009,1.2453071
0.05,0.0625,0.4,0.294971,0.020443,2.426327,0.254376,-1.93748,2.497804,1.850547,-3.424,1.30489,4.301929,-3.94035,-4.08256,1.74529,1.35713
0.05,0.0625,0.6,0.293204,0.022605,2.92379,0.223474,-4.91162,2.890357,15.28175,-3.84738,-17.5181,6.119555,7.321047,-6.26767,-0.89637,2.05743
0.05,0.0625,0.8,0.312236,0.031367,2.479824,0.392077,-1.443,1.152249,9.729933,3.146729,-3.16018,-1.85416,-10.6685,-2.87799,6.26967,1.61544
0.05,0.125,0,0.4065238,0.032027,0.7772483,0.1825342,3.8861644,2.2670449,-12.573943,-2.7076615,16.760207,1.2088194,-11.014593,-0.377743,2.8706957,0.0763155
0.05,0.125,0.2,0.4060953,0.0467212,1.1644812,0.0112075,1.6385609,3.9795496,-5.6458829,-9.2799411,6.7482434,13.005505,-4.1123639,-10.210942,1.0134083,3.1584278
0.05,0.125,0.4,0.463771,0.055982,1.624502,0.366365,0.482407,1.729766,-1.95744,-0.84348,1.85376,-0.97895,-1.08268,0.614079,0.21608,-0.07881
0.05,0.125,0.6,0.55493,0.07671,1.805579,0.457549,0.932147,1.565832,-0.35788,0.482942,-0.53078,-2.53802,-0.83505,1.086088,0.6371,-0.05263
0.05,0.125,0.8,0.678729,0.108382,1.720755,0.400786,3.502419,2.547658,-0.79881,-0.56225,-2.62586,-0.9045,-1.52302,-1.24535,2.05234,1.02783
0.05,0.25,0,0.6152816,0.0703566,-0.3348694,0.2828152,6.295562,1.4036169,-15.590618,-0.6511596,19.299508,-1.2076596,-12.488107,1.0318656,3.3010035,-0.2423741
