t/Ri,a/c,a/t ,"A0, G0","A0, G1","A0, G5","A0, G6","A1, G0","A1, G1","A1, G5","A1, G6","A2, G0","A2, G1","A2, G5","A2, G6","A3, G0","A3, G1","A3, G5","A3, G6","A4, G0","A4, G1","A4, G5","A4, G6","A5, G0","A5, G1","A5, G5","A5, G6","A6, G0","A6, G1","A6, G5","A6, G6"
0.01,0.25,0.2,0.6246031,0.0891236,0.6161299,-0.054116,-0.2494174,0.1846386,-0.2007834,0.59713,7.0847353,2.4135204,6.8142686,-2.103867,-20.200719,-4.7013804,-19.55284,2.570445,28.227826,5.7368556,27.443393,-0.312001,-45.141504,0,0,0,5.6093784,1.3716268,5.509425,0.575764
0.01,0.25,0.4,0.732995,0.124453,0.719036,-0.02064,0.099625,0.243823,-0.14501,-0.1296,3.957373,1.942652,5.768068,0.89657,-25.76772,0,0,0,4.91367,0.695455,15.38865,4.927753,-14.04254,0,0,0,-0.44015,0.12921,2.222222,1.210347
0.01,0.25,0.6,0.933585,0.18616,0.889426,-0.04631,-0.06714,0.187207,-0.08543,-0.08747,4.985972,2.320879,5.27328,0.633733,-22.61625,0,0,0,3.144457,0.428893,6.74493,4.476315,2.175137,0.35508,-1.16919,-3.69826,-1.56709,-0.1581,-0.44444,1.185305
0.01,0.25,0.8,1.240705,0.268532,1.126302,-0.09217,-0.98327,0.068702,-0.19354,0.003771,11.03635,2.924279,5.057792,-0.15143,-24.419,-3.19358,-4.86994,0.141771,25.07482,-0.07249,-6.82003,0.117679,-13.2471,1.661458,12.33928,0.121037,3.04485,-0.72485,-5,-0.14066
0.01,0.5,0,0.8776607,0.1277541,0.8689713,0,-0.6729719,0.4368502,-0.6663089,0,3.7721411,0.4904522,3.7347931,0,-6.520906,1.0427434,-6.4563426,0,6.3377934,-2.9631236,6.2750426,0,-3.7028038,2.0826525,-3.6661426,0,0.9872447,-0.5184313,0.9774703,0
0.01,0.5,0.2,0.9002026,0.1486748,0.8967218,-0.022435,-1.0448586,0.153696,-1.1174698,0.234086,6.441596,2.2835405,6.9898115,-0.793431,-14.919959,-4.6118436,-16.817521,0.930146,19.30013,5.8374817,22.611071,-0.126619,-34.6308791,0,0,0,3.8224907,1.4736264,4.775756,0.140831
0.01,0.5,0.4,1.006388,0.178944,0.952414,-0.04578,-0.74257,0.32069,-0.36247,0.290121,3.126026,1.101166,1.16442,-1.32384,-2.1867,-0.27803,2.711825,2.803223,-17.01794,0,0,0,5.129893,1.664871,9.069768,1.163506,-5.64315,0,0,0
0.01,0.5,0.6,1.187688,0.234856,1.135992,-0.04689,-1.15146,0.169401,-0.9448,0.139629,4.313443,1.531033,3.412804,-0.41155,-3.6414,-0.92974,-1.87246,0.151787,-3.22481,-1.20484,-4.57531,1.286333,6.578137,1.474713,6.590909,-2.01597,-2.77825,-0.50378,-2.5,0.896667
0.01,0.5,0.8,1.376855,0.282717,1.339476,-0.0491,-1.18079,0.225806,-1.49541,-0.06723,3.432775,0.913633,5.619284,0.396118,-1.9675,0.487159,-7.85282,-0.0658,-3.74229,-2.50463,4.146231,-1.51307,5.258623,1.901396,-0.0014,2.149047,-3.6681,0,0,0
0.01,1,0,1.1977992,0.1870117,1.1859396,0,-0.524487,0.6987352,-0.5192941,0,0.1498299,0.13169,0.1483465,0,2.3284866,0.7269255,2.3054327,0,-5.1058499,-2.5259384,-5.055297,0,4.3469049,2.1756251,4.3038663,0,-1.348798,-0.6540458,-1.3354436,0
